feature,target,decile,months,avg_n_obs,ew_mean_return,ew_median_return
stock_sell_pressure,fwd_ret_1m,3,297,419.3703703703704,0.007627380835723816,0.0011586464646464645
stock_sell_pressure,fwd_ret_1m,4,297,419.2828282828283,0.00866466533778034,0.0029234949494949497
stock_sell_pressure,fwd_ret_1m,5,297,419.15488215488216,0.009125143709944217,0.003982808080808081
stock_sell_pressure,fwd_ret_1m,6,297,419.0740740740741,0.00932095763478362,0.004534042087542088
stock_sell_pressure,fwd_ret_1m,7,297,418.969696969697,0.00916881713966773,0.003584008417508418
stock_sell_pressure,fwd_ret_1m,8,297,418.8787878787879,0.009212446398218692,0.0020792491582491586
stock_sell_pressure,fwd_ret_1m,9,297,418.7946127946128,0.010136905195418005,-7.040909090909087e-05
stock_sell_pressure,fwd_ret_1m,10,297,418.67003367003366,0.016691346607344282,-0.006281968013468013
stock_sell_pressure,fwd_ret_3m,1,295,413.87118644067795,0.022675081496403605,0.0033063880258358542
stock_sell_pressure,fwd_ret_3m,2,295,413.76271186440675,0.0290525866001517,0.010034733080980617
stock_sell_pressure,fwd_ret_3m,3,295,413.6813559322034,0.026394350450335523,0.010405898202293514
stock_sell_pressure,fwd_ret_3m,4,295,413.56610169491523,0.029659474010829096,0.014447245432045971
stock_sell_pressure,fwd_ret_3m,5,295,413.47457627118644,0.028530494434328403,0.014807773638529219
stock_sell_pressure,fwd_ret_3m,6,295,413.3491525423729,0.030851716200073712,0.01706455088890437
stock_sell_pressure,fwd_ret_3m,7,295,413.2610169491525,0.03048445558406514,0.01656467052430185
stock_sell_pressure,fwd_ret_3m,8,295,413.1457627118644,0.028137119473398614,0.010764874484995439
stock_sell_pressure,fwd_ret_3m,9,295,413.0372881355932,0.02954316053396108,0.0027283812937014167
stock_sell_pressure,fwd_ret_3m,10,295,412.9627118644068,0.02802566213058396,-0.023087677114359696
top_owner_share,fwd_ret_1m,1,297,419.5723905723906,0.009469851567602045,0.008324164983164984
top_owner_share,fwd_ret_1m,2,297,419.4781144781145,0.009494970213524934,0.007169314814814815
top_owner_share,fwd_ret_1m,3,297,419.3703703703704,0.009423199797132591,0.006337239057239058
top_owner_share,fwd_ret_1m,4,297,419.2828282828283,0.009979618135416991,0.005798631313131313
top_owner_share,fwd_ret_1m,5,297,419.15488215488216,0.01031320087542464,0.004224025252525252
top_owner_share,fwd_ret_1m,6,297,419.0740740740741,0.010680667072081233,0.0023326498316498315
top_owner_share,fwd_ret_1m,7,297,418.969696969697,0.010319056044899457,-0.0009467946127946128
top_owner_share,fwd_ret_1m,8,297,418.8787878787879,0.009286752540620514,-0.005775784511784512
top_owner_share,fwd_ret_1m,9,297,418.7946127946128,0.009846372020464525,-0.008591537037037036
top_owner_share,fwd_ret_1m,10,297,418.67003367003366,0.00491486096674349,-0.014775707070707073
top_owner_share,fwd_ret_3m,1,295,413.87118644067795,0.028559248069996036,0.024953986742787943
top_owner_share,fwd_ret_3m,2,295,413.76271186440675,0.028408226793113805,0.02214888665577887
top_owner_share,fwd_ret_3m,3,295,413.6813559322034,0.02928549304796172,0.020525072897229813
top_owner_share,fwd_ret_3m,4,295,413.56610169491523,0.03043389714206389,0.019205367657575162
top_owner_share,fwd_ret_3m,5,295,413.47457627118644,0.031982347448575726,0.016100987260745468
top_owner_share,fwd_ret_3m,6,295,413.3491525423729,0.03262106910232792,0.012166469003255928
top_owner_share,fwd_ret_3m,7,295,413.2610169491525,0.0316061282824083,0.004048070775089134
top_owner_share,fwd_ret_3m,8,295,413.1457627118644,0.029294951381803224,-0.005444427315961164
top_owner_share,fwd_ret_3m,9,295,413.0372881355932,0.027466271226029074,-0.014140422324965467
top_owner_share,fwd_ret_3m,10,295,412.9627118644068,0.013667714423901998,-0.030278727509241148
vol,fwd_ret_1m,1,297,419.55555555555554,0.009972156827228835,0.0008638097643097642
vol,fwd_ret_1m,2,297,419.45791245791247,0.010801107353396885,-0.0007391750841750843
vol,fwd_ret_1m,3,297,419.35690235690237,0.011350784959208922,-0.0006254326599326599
vol,fwd_ret_1m,4,297,419.26262626262627,0.010684790647877192,0.0006642609427609426
vol,fwd_ret_1m,5,297,419.1380471380471,0.010282258118020159,0.0015296969696969693
vol,fwd_ret_1m,6,297,419.06734006734007,0.009381083456647725,0.001836446127946128
vol,fwd_ret_1m,7,297,418.95286195286195,0.009787969076063366,0.0019238585858585857
vol,fwd_ret_1m,8,297,418.8686868686869,0.007759934669999656,0.0023453670033670034
vol,fwd_ret_1m,9,297,418.7811447811448,0.00784616513202393,0.0029633838383838385
vol,fwd_ret_1m,10,297,418.66329966329965,0.005930822160837068,0.0011651380471380472
vol,fwd_ret_3m,1,295,413.86101694915254,0.03219105079808619,0.011943058290412855
vol,fwd_ret_3m,2,295,413.75254237288135,0.03181802787075309,0.008095051283033857
vol,fwd_ret_3m,3,295,413.6677966101695,0.03389636592239649,0.006433026861301576
vol,fwd_ret_3m,4,295,413.55593220338983,0.03389203325622043,0.007554667195637962
vol,fwd_ret_3m,5,295,413.4508474576271,0.03245258094426445,0.009500700063560285
vol,fwd_ret_3m,6,295,413.3423728813559,0.0271969598899815,0.008352096965798037
vol,fwd_ret_3m,7,295,413.2542372881356,0.02720186170251796,0.009837126976062587
vol,fwd_ret_3m,8,295,413.1322033898305,0.02401118742020335,0.00975717344707287
vol,fwd_ret_3m,9,295,413.03050847457627,0.02236730659667583,0.010665792104491815
vol,fwd_ret_3m,10,295,412.93898305084747,0.018361454319155313,0.006817536503704529
