model,target,regime,rows,months,rank_ic_mean,rank_ic_t_hac6,spread_mean,spread_t_hac6,annualized_spread_approx,hit_rate_mean,hit_rate_t_hac6,avg_top_names,avg_bottom_names,annualized_spread_to_vol_proxy
lgbm_no_network,fwd_ret_3m,2021_2022_rate_hike,97321,24,0.11722703290328966,13.756126648149573,0.09243742755010752,8.242856926956552,0.36974971020043007,0.49150718325402015,13.798564328374544,406.0833333333333,405.0833333333333,3.224935780078544
lgbm_no_network,fwd_ret_3m,2023_2025_recent,82210,21,0.09576348096073178,13.974370068063546,0.07043534407322065,6.350503600001878,0.2817413762928826,0.5349794620509934,28.695997118620433,391.9047619047619,390.9047619047619,2.2960084280035753
lgbm_no_network,fwd_ret_3m,all_oos,555586,153,0.05935258560396841,7.791231760213953,0.03215618390549513,3.047772322134396,0.1286247356219805,0.5368501898321044,34.487012961247565,363.65359477124184,362.65359477124184,0.7033642403001119
ridge_all,fwd_ret_1m,2012_2016_early_oos,217567,60,0.05635696351543875,7.657187574563066,0.011894498599023012,3.4731840698783505,0.14273398318827613,0.5412172803517217,39.36036778129621,363.15,362.15,1.6440835409825754
ridge_all,fwd_ret_1m,2017_2019_pre_covid,122051,36,0.0673112346754709,7.650221158901092,0.01728298097524328,4.098820864578492,0.20739577170291934,0.525857858035677,40.55375071127578,339.55555555555554,338.55555555555554,2.217290861753051
ridge_all,fwd_ret_1m,2020_covid,40587,12,0.024141405540519616,0.7669454727904502,-0.029900117418821842,-0.7193253587392194,-0.3588014090258621,0.5472929758278271,10.986356217667756,338.75,337.75,-0.708761748378899
ridge_all,fwd_ret_1m,2021_2022_rate_hike,98365,24,0.11623932683664505,5.781392942255206,0.03645949193434535,4.290688600911659,0.4375139032121442,0.5040723383108138,20.277672035849786,410.2916666666667,409.2916666666667,1.8726919607659875
ridge_all,fwd_ret_1m,2023_2025_recent,91026,23,0.09563383754650037,9.162194274742413,0.03882996438501929,4.739852182277488,0.46595957262023147,0.49046459989291574,26.90559028124235,396.2173913043478,395.2173913043478,2.5924969462929925
ridge_all,fwd_ret_1m,all_oos,569596,155,0.07150736279599035,9.716089959679868,0.01771079231809038,3.5419062087800413,0.21252950781708457,0.5248377892730205,54.35899764842359,367.98709677419356,366.98709677419356,1.0668805355525022
ridge_all,fwd_ret_3m,2012_2016_early_oos,215118,60,0.0610155559910018,5.118564525668827,0.027623617210297467,3.241130159156534,0.11049446884118987,0.5643181328734443,21.869333810257732,359.0833333333333,358.0833333333333,1.5538365187635175
ridge_all,fwd_ret_3m,2017_2019_pre_covid,120694,36,0.08428766050254685,6.220526515765688,0.04497437043515199,3.6592287573629365,0.17989748174060796,0.5137010508285272,20.55189127761355,335.75,334.75,1.9764315920265316
ridge_all,fwd_ret_3m,2020_covid,40243,12,-0.007322543139322271,-0.15596847127563374,-0.14197688423633073,-1.3024706214362936,-0.5679075369453229,0.6453795102615224,9.464307350553685,335.9166666666667,334.9166666666667,-0.9687589970403291
ridge_all,fwd_ret_3m,2021_2022_rate_hike,97321,24,0.17470786030512642,9.22376156178793,0.10443257254114385,7.426164925080782,0.4177302901645754,0.4741225394006996,12.955846509721038,406.0833333333333,405.0833333333333,3.18354982090552
ridge_all,fwd_ret_3m,2023_2025_recent,82210,21,0.11881859997376101,13.301708787145126,0.07925283992150871,7.008706613625364,0.31701135968603483,0.5126220406810127,22.853238229524408,391.9047619047619,390.9047619047619,2.506989113225901
ridge_all,fwd_ret_3m,all_oos,555586,153,0.08689933246177739,7.2778888910204325,0.03753897475023847,2.6089829309251216,0.15015589900095389,0.5375221158515685,30.209095875166074,363.65359477124184,362.65359477124184,0.6880827886002039
