model,target,test_year,feature,importance
ridge_all,fwd_ret_1m,2015,z_network_peer_sell_pressure,0.004093347117304802
ridge_all,fwd_ret_1m,2015,z_mktcap_proxy,0.001881074858829379
ridge_all,fwd_ret_1m,2015,z_vol,0.0086783766746521
ridge_all,fwd_ret_1m,2015,z_fragility_proxy_x_stock_sell_pressure,0.004504884127527475
ridge_all,fwd_ret_1m,2015,z_fragility_proxy_x_network_peer_sell_pressure,0.00023437011986970901
ridge_all,fwd_ret_1m,2015,z_owner_hhi_x_stock_sell_pressure,0.00054608762729913
ridge_all,fwd_ret_1m,2015,z_network_weighted_degree_x_network_peer_sell_pressure,0.0001586638536537066
lgbm_all,fwd_ret_1m,2015,z_owner_count,3.0
lgbm_all,fwd_ret_1m,2015,z_owner_hhi,1.0
lgbm_all,fwd_ret_1m,2015,z_top_owner_share,1.0
lgbm_all,fwd_ret_1m,2015,z_fragility_proxy,0.0
lgbm_all,fwd_ret_1m,2015,z_avg_manager_breadth,1.0
lgbm_all,fwd_ret_1m,2015,z_stock_sell_pressure,4.0
lgbm_all,fwd_ret_1m,2015,z_network_degree,1.0
lgbm_all,fwd_ret_1m,2015,z_network_weighted_degree,0.0
lgbm_all,fwd_ret_1m,2015,z_network_peer_sell_pressure,3.0
lgbm_all,fwd_ret_1m,2015,z_mktcap_proxy,7.0
lgbm_all,fwd_ret_1m,2015,z_vol,3.0
lgbm_all,fwd_ret_1m,2015,z_fragility_proxy_x_stock_sell_pressure,3.0
lgbm_all,fwd_ret_1m,2015,z_fragility_proxy_x_network_peer_sell_pressure,0.0
lgbm_all,fwd_ret_1m,2015,z_owner_hhi_x_stock_sell_pressure,1.0
lgbm_all,fwd_ret_1m,2015,z_network_weighted_degree_x_network_peer_sell_pressure,2.0
lgbm_no_network,fwd_ret_1m,2015,z_owner_count,0.0
lgbm_no_network,fwd_ret_1m,2015,z_owner_hhi,1.0
lgbm_no_network,fwd_ret_1m,2015,z_top_owner_share,0.0
lgbm_no_network,fwd_ret_1m,2015,z_fragility_proxy,3.0
lgbm_no_network,fwd_ret_1m,2015,z_avg_manager_breadth,1.0
lgbm_no_network,fwd_ret_1m,2015,z_stock_sell_pressure,10.0
lgbm_no_network,fwd_ret_1m,2015,z_mktcap_proxy,7.0
lgbm_no_network,fwd_ret_1m,2015,z_vol,4.0
lgbm_no_network,fwd_ret_1m,2015,z_fragility_proxy_x_stock_sell_pressure,0.0
lgbm_no_network,fwd_ret_1m,2015,z_owner_hhi_x_stock_sell_pressure,4.0
lgbm_network_pressure,fwd_ret_1m,2015,z_stock_sell_pressure,0.0
lgbm_network_pressure,fwd_ret_1m,2015,z_network_degree,7.0
lgbm_network_pressure,fwd_ret_1m,2015,z_network_weighted_degree,10.0
lgbm_network_pressure,fwd_ret_1m,2015,z_network_peer_sell_pressure,4.0
lgbm_network_pressure,fwd_ret_1m,2015,z_fragility_proxy_x_stock_sell_pressure,3.0
lgbm_network_pressure,fwd_ret_1m,2015,z_fragility_proxy_x_network_peer_sell_pressure,0.0
lgbm_network_pressure,fwd_ret_1m,2015,z_owner_hhi_x_stock_sell_pressure,5.0
