spec,target,variable,months,mean_coef,nw_se,nw_t,coef_std,positive_month_share
full_core_no_controls,fwd_ret_1m,intercept,296,0.00442798506407423,0.003807797639529632,1.1628729998953433,0.05906500482439677,0.5641891891891891
full_core_no_controls,fwd_ret_1m,network_degree,296,0.005699041088216124,0.0009601532982064045,5.93555331097868,0.02030446300380624,0.6351351351351351
full_core_no_controls,fwd_ret_1m,network_peer_sell_pressure,296,-0.00218395961743992,0.0006668085246999277,-3.2752424969712703,0.010931689304721354,0.40540540540540543
full_core_no_controls,fwd_ret_1m,network_weighted_degree,296,0.0012045623553996836,0.0007479704867596719,1.610441022369801,0.013836114334857277,0.6081081081081081
full_core_no_controls,fwd_ret_1m,owner_count,296,-0.003925081304751313,0.0010555419334636927,-3.7185460665417738,0.01927997097117722,0.3783783783783784
full_core_no_controls,fwd_ret_1m,owner_hhi,296,-0.006229050354042792,0.002034803639141681,-3.0612537908917465,0.03590083903040503,0.4189189189189189
full_core_no_controls,fwd_ret_1m,stock_sell_pressure,296,0.0017048901041752179,0.0009229284493313712,1.84726140516131,0.01960259492277103,0.5033783783783784
full_core_no_controls,fwd_ret_1m,top_owner_share,296,0.0018742823655447612,0.0019161871900987017,0.9781311425259126,0.033566691767516685,0.5033783783783784
full_core_with_controls,fwd_ret_1m,avg_manager_breadth,296,-0.0047808712724939605,0.0006908176540744731,-6.920597996151618,0.013472273631997501,0.2972972972972973
full_core_with_controls,fwd_ret_1m,fragility_proxy,296,-0.0014146672772381691,0.0006353119390148695,-2.226728620009546,0.010173761076007997,0.3952702702702703
full_core_with_controls,fwd_ret_1m,intercept,296,0.004372824966108572,0.0038064398615750865,1.1487965461509007,0.059053513528482746,0.5608108108108109
full_core_with_controls,fwd_ret_1m,mktcap_proxy,296,0.00015030141056841426,0.0006753031641121747,0.22256879362621743,0.01140569997557831,0.4797297297297297
full_core_with_controls,fwd_ret_1m,network_degree,296,0.005796540371136899,0.0009784789254668436,5.924031903263836,0.020586873084885705,0.6114864864864865
full_core_with_controls,fwd_ret_1m,network_peer_sell_pressure,296,-0.0020547110310179615,0.0006243631917784313,-3.2908907156511558,0.01006309043864229,0.39864864864864863
