stratifier,source_column,model,target,stratum,rows,months,rank_ic_mean,rank_ic_t_hac6,spread_mean,spread_t_hac6,annualized_spread_approx,hit_rate_mean,hit_rate_t_hac6,avg_top_names,avg_bottom_names,annualized_spread_to_vol_proxy
volatility,vol,lgbm_no_network,fwd_ret_1m,high_vol,189912,155,0.07030957938561094,6.517040894736605,0.022773717645667702,3.4712117196758903,0.27328461174801244,0.5389595291564521,51.34137602715363,123.07096774193549,122.07096774193549,1.0253780057988917
volatility,vol,lgbm_no_network,fwd_ret_1m,low_vol,189814,155,0.030614140819435653,6.538696048718269,0.004058101963726051,1.4037099703156561,0.04869722356471261,0.5137263552575386,48.68845095977346,123.0,122.0,0.3193618637781541
volatility,vol,lgbm_no_network,fwd_ret_1m,mid_vol,189863,155,0.04313393489991549,8.418469658672423,0.01187329472257798,2.833711915138296,0.14247953667093577,0.5208408631294377,44.64636303151725,123.03870967741935,122.03870967741935,0.760954073171531
volatility,vol,lgbm_no_network,fwd_ret_3m,high_vol,185251,153,0.11430617834431296,6.430870072980108,0.05344380272844128,2.731820603951894,0.2137752109137651,0.5489399982734393,38.57922391446273,121.63398692810458,120.63398692810458,0.6974061630251502
volatility,vol,lgbm_no_network,fwd_ret_3m,low_vol,184871,153,0.029299060123314895,3.9104662382186786,0.012512356987185738,2.0430871319145023,0.05004942794874295,0.5312611856898041,32.532934622959374,121.41176470588235,120.41176470588235,0.32101030731324526
volatility,vol,lgbm_no_network,fwd_ret_3m,mid_vol,185458,153,0.053555381857412564,9.858178842717106,0.03026489602687913,3.9834881323250784,0.12105958410751652,0.5303149079493964,28.450105655317852,121.77777777777777,120.77777777777777,0.7593232923514671
volatility,vol,ridge_all,fwd_ret_1m,high_vol,189912,155,0.06479667830579255,5.9753827908613,0.015843520288457504,2.148974632045203,0.19012224346149004,0.530955960464044,57.1793655829436,123.07096774193549,122.07096774193549,0.6999976404183456
volatility,vol,ridge_all,fwd_ret_1m,low_vol,189814,155,0.07553768057980023,10.513353744317858,0.015284563878161557,3.491761200818977,0.18341476653793867,0.5210630689588817,55.247602051356154,123.0,122.0,0.9679293661268836
volatility,vol,ridge_all,fwd_ret_1m,mid_vol,189863,155,0.07448695947003403,9.330074290442797,0.017409894413619863,3.456315587510619,0.20891873296343835,0.5224959910402117,44.72272348353958,123.03870967741935,122.03870967741935,0.9946760482313526
volatility,vol,ridge_all,fwd_ret_3m,high_vol,185251,153,0.081102224220788,5.525577356513583,0.025935133558025656,1.4191828281986578,0.10374053423210262,0.5405983102172346,33.266781909114584,121.63398692810458,120.63398692810458,0.37087793974207134
volatility,vol,ridge_all,fwd_ret_3m,low_vol,184871,153,0.08679835739352157,7.372378727450395,0.03590415351660432,3.140427170398152,0.1436166140664173,0.5423713159261774,29.55329173892775,121.41176470588235,120.41176470588235,0.8197975349442272
volatility,vol,ridge_all,fwd_ret_3m,mid_vol,185458,153,0.096849707451409,7.27563643567241,0.03530342853968144,2.667289073820467,0.14121371415872577,0.5296016451086959,25.65456910334673,121.77777777777777,120.77777777777777,0.6685263169007003
fragility,fragility_proxy,lgbm_all,fwd_ret_1m,high_fragility,189915,155,0.042155710495786994,5.299372507288581,0.01709751659288229,3.7844854441721254,0.20517019911458745,0.5293108161720166,54.50923763176462,123.07096774193549,122.07096774193549,1.0152498830804482
fragility,fragility_proxy,lgbm_all,fwd_ret_1m,low_fragility,189816,155,0.04881460415538279,7.717990781598854,0.016521212354185574,5.325487284505143,0.19825454825022687,0.5104507967365252,42.93768369572547,123.0,122.0,1.156602519827277
fragility,fragility_proxy,lgbm_all,fwd_ret_1m,mid_fragility,189865,155,0.025892497252803622,4.966604772099229,0.006963373350687116,2.5993213190536206,0.08356048020824539,0.5280278695764035,44.76994734625313,123.04516129032258,122.04516129032258,0.5784972631609303
fragility,fragility_proxy,lgbm_all,fwd_ret_3m,high_fragility,184261,153,0.05015599954671886,4.257016673531919,0.03412830993672797,3.2093306921444738,0.13651323974691187,0.5499695536345484,39.09020107698032,121.0,120.0,0.7620270668166996
fragility,fragility_proxy,lgbm_all,fwd_ret_3m,low_fragility,185975,153,0.061847112225005746,6.538755004105833,0.04000445659369588,5.156860841335258,0.1600178263747835,0.527563777132363,29.38402340942978,122.11764705882354,121.11764705882354,1.0241998366946694
fragility,fragility_proxy,lgbm_all,fwd_ret_3m,mid_fragility,185350,153,0.03243872617516052,5.021960164872286,0.007099370431552288,0.9763455126054533,0.02839748172620915,0.5497763910371233,30.65339162160786,121.69934640522875,120.69934640522875,0.2103576061012193
fragility,fragility_proxy,lgbm_network_pressure,fwd_ret_1m,high_fragility,189915,155,0.027460340425380304,3.126684773335455,0.005607177726123975,1.8426353330271354,0.0672861327134877,0.5261196862044852,52.242276964078755,123.07096774193549,122.07096774193549,0.35051408315407157
fragility,fragility_proxy,lgbm_network_pressure,fwd_ret_1m,low_fragility,189816,155,0.020214984568615854,1.758760079851829,0.0022869460493103056,0.575618763073911,0.027443352591723667,0.5049142874973821,44.03839627587914,123.0,122.0,0.1821300227444788
fragility,fragility_proxy,lgbm_network_pressure,fwd_ret_1m,mid_fragility,189865,155,0.016243915305019625,2.9710249902373183,0.0009250762534327867,0.3293706294418946,0.01110091504119344,0.5258686288644983,44.143562422472876,123.04516129032258,122.04516129032258,0.07773769125196443
fragility,fragility_proxy,lgbm_network_pressure,fwd_ret_3m,high_fragility,184261,153,0.030776929277093572,2.9857292636625643,0.0005488717802181357,0.07012791950582849,0.0021954871208725428,0.5395232929106542,32.542434075632976,121.0,120.0,0.014292198352192646
fragility,fragility_proxy,lgbm_network_pressure,fwd_ret_3m,low_fragility,185975,153,0.02060036355626037,1.0858600948614547,0.010964859059346833,0.799772268060185,0.043859436237387334,0.5127730062596052,27.29115808691415,122.11764705882354,121.11764705882354,0.23114213125715424
fragility,fragility_proxy,lgbm_network_pressure,fwd_ret_3m,mid_fragility,185350,153,0.00793833594069329,1.1496160879217192,-0.004795638898377427,-0.5872775659771317,-0.019182555593509707,0.5416776827620321,28.186239192508186,121.69934640522875,120.69934640522875,-0.13090607545511668
fragility,fragility_proxy,lgbm_no_network,fwd_ret_1m,high_fragility,189915,155,0.0465132047831565,6.152830381831023,0.013697777913019352,2.5095321785549016,0.16437333495623224,0.5282116911505217,57.37613920213289,123.07096774193549,122.07096774193549,0.7172447746515844
fragility,fragility_proxy,lgbm_no_network,fwd_ret_1m,low_fragility,189816,155,0.05964280755243197,11.283724060640482,0.019701931181537534,3.534687719502969,0.2364231741784504,0.5150331990122381,45.05581987398104,123.0,122.0,0.9503300167903495
fragility,fragility_proxy,lgbm_no_network,fwd_ret_1m,mid_fragility,189865,155,0.029389805719829014,5.4637635262714275,0.006854110255694661,2.2167902428630786,0.08224932306833593,0.5302753700615498,47.11402343637419,123.04516129032258,122.04516129032258,0.5052324676589972
fragility,fragility_proxy,lgbm_no_network,fwd_ret_3m,high_fragility,184261,153,0.06419613716150811,6.08725911602908,0.032445474888277474,3.0154187847639435,0.1297818995531099,0.5371566826849338,40.08268368149533,121.0,120.0,0.6927084480054144
fragility,fragility_proxy,lgbm_no_network,fwd_ret_3m,low_fragility,185975,153,0.07502896443621955,10.835205719685389,0.05019453932663902,4.084920488356434,0.20077815730655607,0.5298038323579468,30.698296139223885,122.11764705882354,121.11764705882354,0.9684049492716188
fragility,fragility_proxy,lgbm_no_network,fwd_ret_3m,mid_fragility,185350,153,0.034987747603679814,4.2966818353795295,0.009332093915212376,0.8141198181506575,0.037328375660849504,0.5436332218001121,31.920939525183794,121.69934640522875,120.69934640522875,0.18726128171219714
fragility,fragility_proxy,ridge_all,fwd_ret_1m,high_fragility,189915,155,0.05970374529356705,6.544164499382266,0.01473752721054461,2.5773913137099718,0.17685032652653532,0.523371626220936,70.60909008739806,123.07096774193549,122.07096774193549,0.7935874460649459
fragility,fragility_proxy,ridge_all,fwd_ret_1m,low_fragility,189816,155,0.08963442366761265,12.950878524980286,0.02598894250014802,4.247931159642577,0.31186731000177625,0.5207648607668616,47.31369452171911,123.0,122.0,1.2637138938121761
fragility,fragility_proxy,ridge_all,fwd_ret_1m,mid_fragility,189865,155,0.06046780461134243,7.507788250375987,0.011302955688243082,2.0461617474520297,0.13563546825891698,0.5303756793303382,46.99996693169023,123.04516129032258,122.04516129032258,0.6546166243474107
fragility,fragility_proxy,ridge_all,fwd_ret_3m,high_fragility,184261,153,0.07066539443234784,4.555196469867125,0.026587989771885992,1.8171699187100945,0.10635195908754397,0.5374504320926404,37.70086527204236,121.0,120.0,0.47566568741529675
fragility,fragility_proxy,ridge_all,fwd_ret_3m,low_fragility,185975,153,0.10837816749880996,10.5564356125539,0.06402972309705521,4.321677422563222,0.25611889238822083,0.5266490142137685,26.13754813333102,122.11764705882354,121.11764705882354,1.1103986093999276
fragility,fragility_proxy,ridge_all,fwd_ret_3m,mid_fragility,185350,153,0.07557720670836485,6.189187816011897,0.01680019525579371,0.9905858141528744,0.06720078102317484,0.5485015788300452,27.980281410120487,121.69934640522875,120.69934640522875,0.25056592746465284
network_weighted_degree,network_weighted_degree,lgbm_all,fwd_ret_1m,high_network,189915,155,0.02023459660459439,3.374502200608376,0.004632862447724344,1.7253401240787876,0.05559434937269213,0.5524210778272077,42.95905176940144,123.07096774193549,122.07096774193549,0.48337768887736177
network_weighted_degree,network_weighted_degree,lgbm_all,fwd_ret_1m,low_network,189816,155,0.04549327874500416,7.420683838445962,0.0221675375928521,5.705055153229197,0.26601045111422517,0.4883623696966138,45.62858656598003,123.0,122.0,1.2909798885014863
